ScoreA	ScoreD
66.4921	0.708767
54.4412	 0.728520
54.9603	0.731076
44.7565	0.720654
36.838	0.691515
61.0258	0.747443
51.9943	0.743364
49.5077	0.737241
34.4752	0.676453
28.9232	0.649969
38.8967	0.457105
62.2087	0.395312
72.1513	0.379481
62.9796	0.373811
65.2375	0.358411
54.6133	0.278353
47.4831	0.274531
57.4123	0.266213
44.2815	0.281225
35.047	0.292940
67.3163	0.366785
65.652	0.365730
54.9796	0.365511
50.734	0.366799
46.9564	0.368486
70.235	0.363311
71.1275	0.270359
63.3862	0.214835
52.0174	0.162677
36.9537	0.159214
67.5067	0.394706
66.1335	0.379216
64.8636	0.360499
54.1817	0.330166
29.9816	0.229391
72.1684	0.344469
63.3563	0.217593
56.6088	0.177339
48.5383	0.148466
38.0461	0.151302
74.0773	0.350656
59.8621	0.350606
39.9414	0.348952
33.9324	0.327758
28.8174	0.330384
59.1273	0.171119
44.3025	0.116621
37.3036	0.087273
30.9952	0.037670
27.8214	0.032642
63.5475	0.330594
53.9074	0.322967
53.9647	0.312254
50.8486	0.281103
45.9264	0.282825
59.4333	0.366660
56.444	0.342207
56.2593	0.323498
41.6533	0.269166
30.7126	0.230616
39.6852	0.798319
58.3596	0.781461
63.9198	0.786815
60.0422	0.787390
39.9945	0.783917
49.7153	0.703332
56.322	0.697201
52.9063	0.695932
38.5426	0.687451
39.7483	0.703492
67.8711	0.782179
68.0026	0.785333
61.3523	0.783625
61.2103	0.786052
47.4413	0.785851
66.0273	0.685380
64.429	0.624665
54.8212	0.600549
48.1398	0.555426
31.0074	0.475196
67.4183	0.686627
65.8092	0.654337
54.3743	0.634713
47.5678	0.589062
30.0389	0.544434
68.0878	0.671165
55.6547	0.623175
60.1227	0.599232
48.0456	0.578653
34.0608	0.538246
73.4769	0.785746
56.153	0.792516
39.6738	0.792516
26.6466	0.849411
26.1542	0.856445
62.8911	0.475818
53.0704	0.393924
47.782	0.340182
33.6347	0.158266
28.1262	0.068638
53.3037	0.829914
51.1479	0.849528
48.6594	0.860292
35.5004	0.869794
28.1807	0.872855
60.3524	0.825002
48.9556	0.835656
39.1822	0.843140
32.37	0.846707
27.6696	0.832084
38.3895	0.727103
51.0129	0.712291
63.2549	0.743001
56.7339	0.759914
52.1381	0.750303
51.776	0.372414
48.607	0.392243
44.3444	0.405990
40.1253	0.385081
36.4135	0.402352
66.6542	0.714772
64.0894	0.716515
57.9502	0.719813
50.214	0.719463
43.9259	0.715910
70.1122	0.543772
59.2291	0.431496
58.1556	0.400560
45.4511	0.332909
35.58	0.261911
63.564	0.540317
63.9772	0.434949
52.8865	0.385898
43.6701	0.337770
34.2746	0.275829
72.6266	0.550144
54.488	0.423705
46.7588	0.378272
46.1166	0.309381
28.9172	0.248023
48.0616	0.727946
34.0081	0.721669
26.8217	0.711928
29.3107	0.712151
25.8108	0.717777
55.445	0.343825
42.0054	0.227686
38.8558	0.166642
27.3307	0.062598
25.6088	0.037675
66.1775	0.718767
68.1529	0.718302
64.4537	0.715313
63.525	0.710775
55.6621	0.704551
63.6626	0.715952
62.4076	0.713443
63.4913	0.710147
49.4675	0.710751
39.3276	0.708156
34.7514	0.714303
59.0531	0.756291
64.7349	0.772533
52.9951	0.752460
46.1287	0.758771
37.4579	0.551103
44.6434	0.516678
44.2711	0.504397
31.3813	0.479454
21.7307	0.502063
67.0808	0.745093
63.023	0.750726
53.6406	0.752729
47.6894	0.754844
39.6721	0.762549
67.7577	0.598246
64.1667	0.537475
47.2807	0.506415
41.8043	0.376845
24.4907	0.286061
69.7551	0.611401
62.2711	0.562062
45.9825	0.505538
43.0307	0.385604
26.9816	0.274104
63.2016	0.611747
61.7165	0.524904
43.4957	0.485597
36.678	0.447674
29.3949	0.335434
49.1973	0.756574
42.5444	0.767844
26.6353	0.764369
21.597	0.777666
22.8919	0.754089
56.2739	0.290506
39.6473	0.117529
37.766	0.069910
26.3875	0.033393
24.8112	0.030401
61.5497	0.756831
58.2721	0.750726
55.7829	0.757457
44.8015	0.757271
38.5977	0.752560
65.3629	0.758281
57.6556	0.755436
52.2193	0.750893
29.5282	0.743347
27.1538	0.730919
36.4966	0.741619
50.9628	0.791297
60.2075	0.740189
59.3804	0.741133
36.4553	0.727050
62.1086	0.735149
60.2853	0.727059
55.7091	0.704401
43.2648	0.739616
40.0348	0.723490
70.8665	0.808499
68.1593	0.807717
61.2827	0.808431
45.7882	0.809995
42.5954	0.806996
67.8562	0.723154
61.2729	0.646459
52.0524	0.603421
33.6498	0.492756
25.2191	0.352839
72.9961	0.729448
56.201	0.676248
49.3282	0.611579
37.4706	0.505202
22.564	0.391586
69.6831	0.720608
54.7837	0.613809
49.0934	0.550994
39.4744	0.449723
30.0805	0.280734
67.3535	0.794648
55.5106	0.793774
48.6207	0.815177
41.0579	0.811719
30.4711	0.822621
55.6431	0.345182
37.8024	0.231994
39.4365	0.226671
32.3228	 0.059708
25.1121	0.038079
68.4131	0.812072
58.1699	0.819765
40.6858	0.822574
38.4825	0.819452
31.7032	0.811937
57.0909	0.824003
43.0839	0.822707
47.5577	0.826495
35.5009	0.816513
26.001	0.797015
42.4399	0.880877
55.6993	0.874935
65.1404	0.819746
55.7768	0.828789
63.2089	0.797275
58.7089	0.834524
55.3759	0.821149
57.0485	0.821719
39.8806	0.781935
49.1344	0.782007
66.6156	0.866538
70.5875	0.866710
64.9382	0.866390
54.7023	0.867219
53.0791	0.867740
68.2464	0.755603
64.3505	0.643516
58.8121	0.583904
45.0547	0.499059
30.2565	0.353998
66.928	0.754876
67.6051	0.679382
55.866	0.626010
38.6943	0.571959
33.8189	0.459797
68.0682	0.778292
55.2928	0.607323
49.3155	0.541935
40.588	0.466440
33.8583	0.362886
69.1884	0.869110
62.2466	0.871534
58.5	0.883244
43.7428	0.883535
22.9835	0.876432
60.852	0.441968
46.5063	0.355583
44.9742	0.304105
31.6586	0.139204
26.7648	0.068150
64.7464	0.880842
53.9908	0.887618
45.7994	0.891814
41.4401	0.893433
31.1406	0.891749
62.2855	0.885752
47.4031	0.889021
48.7609	0.889594
34.8159	0.880963
28.5479	0.868678
42.7434	0.788124
60.5459	0.758809
69.4312	0.765732
65.3612	0.788892
51.2241	0.769798
48.2558	0.467965
46.8795	0.459225
47.5598	0.468520
39.4305	0.486807
32.7584	0.393028
69.9039	0.740440
65.2203	0.743141
55.9846	0.743559
53.0388	0.744231
44.1686	0.744646
67.7813	0.548660
63.3746	0.408405
54.4418	0.339281
44.532	0.241766
31.8063	0.195566
66.9921	0.550491
56.7245	0.404666
48.7929	0.322781
41.7236	0.258785
35.7259	0.221779
68.8377	0.571560
56.9687	0.352919
55.7143	0.319674
43.4856	0.240358
33.9478	0.246796
48.2891	0.738429
37.4325	0.737681
30.5517	0.739360
26.5227	0.755200
22.9835	0.764982
57.4149	0.248675
45.5874	0.134774
40.4212	0.094809
31.3195	0.036063
27.7708	0.031811
69.3228	0.729389
64.5281	0.723658
63.3397	0.719955
59.4499	0.715829
58.0718	0.708656
67.7761	0.729362
64.2978	0.721784
60.9455	0.714669
51.1324	0.702272
43.3661	0.691603
38.5168	0.834031
56.7336	0.827021
66.4384	0.827790
56.5848	0.829647
46.9645	0.821151
48.2612	0.718125
49.4889	0.711575
41.8481	0.708274
24.2964	0.654230
27.8319	0.564608
67.3749	0.832380
58.455	0.833191
59.2481	0.833261
54.4692	0.833487
44.4206	0.832748
65.2988	0.760394
61.1883	0.668592
56.3691	0.569016
43.484	0.421827
29.0399	0.313392
67.5007	0.766856
61.4575	0.672740
48.9932	0.566181
45.6599	0.487037
26.2024	0.415585
65.8611	0.775836
63.5122	0.612673
52.1366	0.510123
40.6123	0.414954
32.2584	0.355291
58.1403	0.842666
35.4618	0.841165
25.8083	0.845041
25.7078	0.848127
24.1932	0.852198
59.7463	0.442101
49.9361	0.307758
40.7739	0.243317
30.0742	0.136107
25.5209	0.109365
68.882	0.824048
54.6903	0.822511
59.0863	0.822458
49.1469	0.821226
49.1078	0.818877
63.3879	0.825307
58.2347	0.823341
58.681	0.822276
47.2597	0.818754
36.8119	0.813330
43.9482	0.841011
52.1221	0.848547
72.2716	0.837731
56.455	0.824637
50.6993	0.828451
69.62	0.720284
65.5369	0.738999
64.5615	0.736695
57.0469	0.754586
37.6215	0.789007
71.2121	0.851534
67.8346	0.845651
69.4932	0.848155
62.0611	0.850092
56.603	0.848124
66.2946	0.718451
68.413	0.577768
67.3526	0.518210
51.9859	0.447865
30.8537	0.310200
66.1884	0.704582
67.8122	0.600982
64.2026	0.606841
59.5233	0.595819
33.0316	0.392943
68.3379	0.742784
65.0937	0.539932
60.7886	0.476898
47.4389	0.407755
35.6814	0.381970
37.1942	0.827723
33.3316	0.835198
37.8329	0.803505
28.4663	0.802473
25.3674	0.805686
67.3909	0.355773
50.9272	0.208352
46.5688	0.168785
32.8111	0.076696
29.4706	0.042090
67.0856	0.864006
56.4605	0.864369
58.3391	0.878204
48.0586	0.695638
43.9627	0.859295
70.2772	0.872025
50.5169	0.878252
46.822	0.873388
41.7683	0.874884
26.4816	0.878961
38.5661	0.844574
55.8413	0.847061
65.5984	0.808659
56.9071	0.803592
50.6116	0.836580
58.3834	0.610683
57.1664	0.645796
52.872	0.576333
44.7675	0.575597
39.2179	0.658216
65.8191	0.864402
68.9646	0.880120
64.4101	0.862105
70.7856	0.877744
46.2662	0.877340
68.5167	0.652872
65.2663	0.601213
59.6063	0.568930
45.4427	0.399216
30.421	0.327975
69.4553	0.647630
64.6595	0.524110
56.3805	0.436172
47.7873	0.407605
34.1025	0.352148
63.838	0.700339
63.4592	0.452090
55.3988	0.446466
47.0188	0.396597
31.165	0.417823
65.0106	0.820549
41.6351	0.792507
38.7636	0.841346
29.696	0.798520
22.9848	0.874815
53.6313	0.189518
43.9228	0.135654
39.4911	0.106612
25.8958	0.046581
28.9679	0.035659
66.5004	0.859733
48.3307	0.856764
40.9438	0.876101
34.2827	0.875478
30.7408	0.913716
52.5941	0.885444
52.5019	0.888717
38.5416	0.885190
29.9768	0.890165
25.0333	0.885214
38.4695	0.677899
54.6475	0.662762
65.1141	0.641155
56.9287	0.655591
63.1265	0.628319
61.6539	0.565520
62.7969	0.565721
64.5383	0.544522
50.0835	0.504278
43.7598	0.491267
68.8618	0.655779
69.1332	0.655634
64.0766	0.655383
57.3984	0.655753
48.5593	0.655135
68.2551	0.400550
64.746	0.214980
56.977	0.143650
41.6012	0.168378
26.7499	0.180730
70.8074	0.561623
67.3352	0.449450
61.7664	0.326400
44.5956	0.256389
25.131	0.279064
69.8435	0.412845
59.3527	0.217750
47.6147	0.230943
38.4432	0.197989
28.0165	0.176038
59.7861	0.643231
44.9598	0.609661
33.2625	0.595669
29.1707	0.610260
26.3046	0.621140
62.9219	0.376299
43.9164	0.252672
40.4843	0.173082
28.4152	0.043529
28.9988	0.029483
59.41	0.675318
49.5444	0.696202
47.798	0.696623
40.3346	0.695638
31.2495	0.679174
61.0149	0.698414
48.5381	0.720487
32.1631	0.731508
28.7774	0.700672
22.9838	0.670185
40.9767	0.826438
55.0571	0.850969
69.8528	0.851600
61.2504	0.852035
36.6162	0.847794
52.9159	0.660032
48.2253	0.663338
50.4752	0.638619
39.3189	0.581990
29.9286	0.568043
70.1883	0.846677
64.9739	0.843734
58.1946	0.843543
56.8968	0.846889
45.0456	0.845607
68.3981	0.699168
59.6259	0.641074
53.3408	0.572404
38.7951	0.510214
24.917	0.449208
68.7941	0.706331
62.0771	0.631676
52.4821	0.558936
43.3163	0.509446
27.3114	0.442532
71.2504	0.713309
56.7654	0.570993
49.5079	0.562160
42.3207	0.477380
36.1659	0.366791
51.931	0.806756
42.964	0.803662
40.399	0.803665
25.274	0.808965
28.3351	0.808965
58.816	0.500744
42.9426	0.426894
36.9012	0.381534
29.667	0.180029
26.8469	0.085496
63.8906	0.856441
57.3339	0.862411
47.4032	0.858284
41.0473	0.855137
26.4665	0.846020
63.3686	0.862433
51.0627	0.865447
41.1995	0.865176
28.9956	0.859694
23.3357	0.849838
39.6523	0.516859
57.9492	0.547405
69.6574	0.608377
65.4987	0.615103
51.5324	0.677230
48.2489	0.193170
48.6132	0.192204
47.3575	0.206604
40.1155	0.324742
28.558	0.629047
73.2757	0.607492
61.2051	0.607445
49.1986	0.608030
50.2107	0.608180
39.0492	0.611994
69.6394	0.248193
59.3254	0.157999
58.323	0.122368
48.6533	0.090347
34.0487	0.065669
67.3615	0.249531
67.2	0.159582
52.0142	0.106147
47.96	0.088662
33.6432	0.087919
63.4395	0.303772
60.1752	0.145027
52.8567	0.125554
38.0838	0.102875
40.6328	0.095106
64.4866	0.614998
62.4192	0.620812
55.5574	0.626998
38.5229	0.676098
37.9865	0.697949
61.9725	0.384786
52.3588	0.217683
44.0987	0.127685
31.0085	0.032664
25.6655	0.030480
67.7327	0.568958
62.8148	0.559341
56.7609	0.554642
57.1047	0.553356
44.5333	0.556056
64.2082	0.575884
48.4074	0.557756
55.8553	0.546789
39.459	0.529568
34.1498	0.526049
